Passport_Record_ID,Project,Year_Quarter_Month_Week_ID,Month_Key,BOQ,BOQ_Name,IWP_ID_EXPORT,System_Label,Unit of Measure,Unit_Price,Plan_Qty_Month,Plan_PV_WorkValue_auto,Plan_Work_Start_Date,Plan_Work_Finish_Date,Facility_Building.,crew,Construction_Discipline.,Budget_Status
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-18 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W16,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-18,EF-010,м2 / m2,"₽7164,00","1,090","₽   7808,76",18 Апреля 2026 г.,19 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-19 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-19,EF-011,м2 / m2,"₽7164,00","0,150","₽   1074,60",20 Апреля 2026 г.,21 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-22  –  Прокладка воздуховодов из листовой и оцинкованной стали класса Н (нормальные) и П (плотные)-16160-13 -БОВ-1-13-В-25 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-22,Прокладка воздуховодов из листовой и оцинкованной стали класса Н (нормальные) и П (плотные),БОВ-1-13-В-25,"EN-001, 002, 003",м2 / m2,"₽6716,56","4,640","₽   31164,84",22 Апреля 2026 г.,25 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-25 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-25,"EN-001, 002, 003",м2 / m2,"₽7164,00","13,670","₽   97931,88",22 Апреля 2026 г.,25 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
"MP-April-2026-BOQ ""2041-01-27-02  –  Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки""-16160-13 -БОВ-1-13-В-25 • Титул 16160-13 • Вентиляция-АСИ-11",PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-27-02,"Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки",БОВ-1-13-В-25,"EN-001, 002, 003",м3 / m3,"₽29424,79","0,620","₽   18243,37",22 Апреля 2026 г.,25 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Rejected - Отклонен
MP-April-2026-BOQ 2041-01-26-03  –  Зонты вентиляционные из листовой стали круглого сечения диаметром: 200 мм-16160-13 -БОВ-1-13-В-25 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-03,Зонты вентиляционные из листовой стали круглого сечения диаметром: 200 мм,БОВ-1-13-В-25,"EN-001, 002, 003",шт. / pcs,"₽5945,68","1,000","₽   5945,68",22 Апреля 2026 г.,25 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-05  –  Зонты вентиляционные из листовой стали круглого сечения диаметром: 315 мм-16160-13 -БОВ-1-13-В-25 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-05,Зонты вентиляционные из листовой стали круглого сечения диаметром: 315 мм,БОВ-1-13-В-25,"EN-001, 002, 003",шт. / pcs,"₽11200,00","1,000","₽   11200,00",22 Апреля 2026 г.,25 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-14  –  Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 1000 мм-16160-13 -БОВ-1-13-В-25 • Титул 16160-13 • Вентиляция-АСИ-11,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-14,Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 1000 мм,БОВ-1-13-В-25,"EN-001, 002, 003",шт. / pcs,"₽180000,00","1,000","₽   180000,00",22 Апреля 2026 г.,25 Апреля 2026 г.,16160-13 ,АСИ-11,Вентиляция ,Approved - Утверждено
"MP-April-2026-BOQ ""1470-01-04-01.О  –  Трубы из углеродистой стали, до Ду 32, включая все фитинги""-16160-17 -БОВ-1-17-О-39 • Титул 16160-17 • Отопление-АСИ-8",PRJ_001_БХК,2026-Q2-04-W14,April-2026,1470-01-04-01.О,"Трубы из углеродистой стали, до Ду 32, включая все фитинги",БОВ-1-17-О-39,Ветка №2,м / m,"₽2776,04","105,000","₽   291484,20",1 Апреля 2026 г.,9 Апреля 2026 г.,16160-17 ,АСИ-8,Отопление ,Approved - Утверждено
MP-April-2026-BOQ 1470-03-02-01.О  –  Монтаж ЗРА DN 15 (металл)-16160-17 -БОВ-1-17-О-39 • Титул 16160-17 • Отопление-АСИ-8,PRJ_001_БХК,2026-Q2-04-W15,April-2026,1470-03-02-01.О,Монтаж ЗРА DN 15 (металл),БОВ-1-17-О-39,Ветка №2,шт. / pcs,"₽3168,72","16,000","₽   50699,52",10 Апреля 2026 г.,10 Апреля 2026 г.,16160-17 ,АСИ-8,Отопление ,Approved - Утверждено
