Name,BoQ_Code,Description,Facility_Building,Construction_Discipline,Unit of Measure,Project_Qty,Unit_Price,Total Value
"2041-01-23-10 – Клапаны обратные: периметром до 1600 мм,2041-01-23-10,Клапаны обратные: периметром до 1600 мм,16160-13 ,Вентиляция ,шт. / pcs,""6,00"",""₽ 6806,70"",""₽ 40840,20""",,,,,,,,
"2041-02-04-10 – Регистр из стальных водогазопроводных труб диаметром нитки 80 мм,2041-02-04-10,Регистр из стальных водогазопроводных труб диаметром нитки 80 мм,16160-13 ,Отопление ,м / m,""33,21"",""₽ 1771,08"",""₽ 58817,57""",,,,,,,,
2041-01-13 – Кондиционеры. Мультизональные системы,2041-01-13,Кондиционеры. Мультизональные системы,16160-13,Кондиционирование,,,,
2041-02-07 – Изоляция трубопроводов ОВКВ,2041-02-07,Изоляция трубопроводов ОВКВ,16160-13,Изоляция трубопроводов,,,,
2041-02-06 – Трубопроводы систем кондиционирования,2041-02-06,Трубопроводы систем кондиционирования,16160-13,Кондиционирование,,,,
"2041-01-13-03 – Внутренней блок настенного типа мощностью: до 8 кВт,2041-01-13-03,Внутренней блок настенного типа мощностью: до 8 кВт,16160-13 ,Кондиционирование,шт. / pcs,""2,00"",""₽ 18663,00"",""₽ 37326,00""",,,,,,,,
"2041-01-12-03 – Сплит-система с внутренним блоком настенного типа мощностью: свыше 8 кВт,2041-01-12-03,Сплит-система с внутренним блоком настенного типа мощностью: свыше 8 кВт,16160-13 ,Кондиционирование,компл. / package,,""₽ 32082,13"",",,,,,,,,
"2041-02-01-06 – Клапан ctrl потока, 2-ходовой w. привод и 2 импульсные трубки DN 50,2041-02-01-06,""Клапан ctrl потока, 2-ходовой w. привод и 2 импульсные трубки DN 50"",16160-13 ,Отопление ,шт. / pcs,""12,00"",""₽ 3844,32"",""₽ 46131,84""",,,,,,,,
2041-02-09 – Заправка хладагентом,2041-02-09,Заправка хладагентом,16160-13,Кондиционирование,,,,
"2041-01-23-23 – Заслонки воздушные и клапаны воздушные КВР с ручным приводом: периметром до 1000 мм,2041-01-23-23,Заслонки воздушные и клапаны воздушные КВР с ручным приводом: периметром до 1000 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 14775,86"",",,,,,,,,
"2041-01-02-02 – Приточно-вытяжная установка производительностью до 10 тыс. м3/час,2041-01-02-02,Приточно-вытяжная установка производительностью до 10 тыс. м3/час,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 645203,00"",""₽ 1290406,00""",,,,,,,,
2041-01-26 – Воздуховоды,2041-01-26,Воздуховоды,16160-13,Вентиляция,,,,
"2041-02-06-02 – Медные трубы для трубопроводов хладагента до DN32, включая все фитинги,2041-02-06-02,""Медные трубы для трубопроводов хладагента до DN32, включая все фитинги"",16160-13 ,Кондиционирование,м / m,""53,97"",""₽ 3383,42"",""₽ 182603,18""",,,,,,,,
2041-02-04 – Отопительные приборы,2041-02-04,Отопительные приборы,16160-13,Отопление,,,,
"2041-01-23-34 – Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: периметром до 2400 мм,2041-01-23-34,Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: периметром до 2400 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 37550,42"",",,,,,,,,
